0.88,1.00,0.78,nan,nan,nan,nan,nan
0.94,1.00,0.87,nan,nan,nan,nan,nan
0.95,1.00,0.93,nan,nan,nan,nan,nan
0.93,1.00,0.93,nan,nan,nan,nan,nan
0.92,1.00,0.87,nan,nan,nan,nan,nan
0.95,1.00,0.86,nan,nan,nan,nan,nan
0.96,1.00,0.93,nan,nan,nan,nan,nan
0.97,1.00,0.95,nan,nan,nan,nan,nan
0.98,1.00,0.96,nan,nan,nan,nan,nan
0.96,1.00,0.97,nan,nan,nan,nan,nan
0.98,1.00,0.97,nan,nan,nan,nan,nan
0.99,1.00,0.98,nan,nan,nan,nan,nan
0.98,1.00,0.99,nan,nan,nan,nan,nan
0.99,1.00,nan,nan,nan,nan,nan,nan
0.97,1.00,0.81,nan,nan,nan,nan,nan
0.97,1.00,0.88,0.71,0.65,nan,nan,nan
0.97,1.00,0.95,0.88,0.75,0.73,nan,nan
0.96,1.00,0.96,0.81,0.84,0.73,nan,nan
0.95,1.00,0.95,0.71,0.76,0.75,nan,nan
0.94,1.00,0.91,0.57,0.35,0.36,nan,nan
0.96,1.00,0.92,0.53,0.48,0.40,nan,nan
0.97,1.00,0.95,0.75,0.65,0.57,nan,nan
0.96,1.00,0.93,0.73,0.70,0.61,nan,nan
0.93,1.00,0.92,0.65,0.70,0.62,nan,nan
0.94,1.00,0.95,0.70,0.76,nan,nan,nan
0.97,1.00,0.96,0.82,nan,nan,nan,nan
0.98,1.00,0.99,nan,nan,nan,nan,nan
0.99,1.00,nan,nan,nan,nan,nan,nan
0.98,1.00,0.87,nan,nan,nan,nan,nan
0.98,1.00,0.91,0.73,0.77,nan,nan,nan
0.98,1.00,0.96,0.92,0.79,0.74,0.49,nan
0.98,1.00,0.98,0.95,0.90,0.69,0.61,0.17
0.98,1.00,0.98,0.95,0.89,0.75,0.57,0.27
0.98,1.00,0.97,0.94,0.85,0.40,0.11,0.11
0.97,1.00,0.95,0.81,0.79,0.20,0.13,0.09
0.97,1.00,0.94,0.88,0.69,0.45,0.31,nan
0.97,1.00,0.93,0.89,0.83,0.53,0.37,nan
0.94,1.00,0.90,0.74,0.73,0.46,nan,nan
0.95,1.00,0.93,0.79,0.76,nan,nan,nan
0.97,1.00,0.92,0.80,nan,nan,nan,nan
0.93,1.00,0.97,nan,nan,nan,nan,nan
0.98,1.00,nan,nan,nan,nan,nan,nan
0.99,1.00,0.92,nan,nan,nan,nan,nan
0.99,1.00,0.93,0.82,0.83,nan,nan,nan
0.99,1.00,0.96,0.93,0.79,0.77,0.42,nan
0.99,1.00,0.98,0.95,0.90,0.72,0.58,0.17
0.99,1.00,0.98,0.94,0.88,0.77,0.54,0.19
0.99,1.00,0.97,0.94,0.88,0.78,0.33,0.16
0.98,1.00,0.96,0.84,0.82,0.52,0.18,0.08
0.90,1.00,0.92,0.80,0.64,0.54,0.38,nan
0.95,1.00,0.96,0.94,0.85,0.76,0.33,nan
0.96,1.00,0.94,0.79,0.73,0.74,nan,nan
0.95,1.00,0.91,0.80,0.63,nan,nan,nan
0.88,1.00,0.90,0.77,nan,nan,nan,nan
0.91,1.00,0.96,nan,nan,nan,nan,nan
0.95,1.00,nan,nan,nan,nan,nan,nan
0.96,1.00,0.90,nan,nan,nan,nan,nan
0.97,1.00,0.92,0.82,0.73,nan,nan,nan
0.98,1.00,0.95,0.91,0.74,0.63,0.25,nan
0.98,1.00,0.97,0.93,0.87,0.61,0.32,0.18
0.99,1.00,0.97,0.93,0.88,0.77,0.38,0.21
0.98,1.00,0.97,0.94,0.92,0.90,0.65,0.17
0.96,1.00,0.97,0.87,0.86,0.81,0.62,0.32
0.87,1.00,0.88,0.78,0.62,0.58,0.45,nan
0.63,1.00,0.90,0.81,0.83,0.71,0.47,nan
0.83,1.00,0.76,0.48,0.63,0.34,nan,nan
0.87,1.00,0.78,0.41,0.67,nan,nan,nan
0.80,1.00,0.72,0.58,nan,nan,nan,nan
0.67,1.00,0.87,nan,nan,nan,nan,nan
0.90,1.00,nan,nan,nan,nan,nan,nan
0.93,1.00,0.88,nan,nan,nan,nan,nan
0.94,1.00,0.91,0.67,0.62,nan,nan,nan
0.96,1.00,0.92,0.77,0.72,0.49,0.28,nan
0.96,1.00,0.96,0.86,0.85,0.56,0.30,0.23
0.97,1.00,0.97,0.86,0.88,0.75,0.35,0.23
0.96,1.00,0.98,0.88,0.91,0.82,0.42,0.20
0.91,1.00,0.96,0.62,0.82,0.72,0.52,0.24
0.89,1.00,0.89,0.70,0.66,0.60,0.56,nan
0.67,1.00,0.80,0.78,0.63,0.46,0.31,nan
0.87,1.00,0.90,0.86,0.77,0.58,nan,nan
0.92,1.00,0.89,0.86,0.77,nan,nan,nan
0.91,1.00,0.81,0.77,nan,nan,nan,nan
