0.97,nan,0.91,nan,0.87,nan,1.00,nan
0.95,nan,0.92,nan,0.89,nan,1.00,nan
0.90,nan,0.89,nan,0.87,nan,1.00,nan
0.78,nan,0.82,nan,0.81,nan,1.00,nan
0.74,0.62,0.80,0.62,0.79,0.69,1.00,0.74
0.73,0.54,0.81,0.52,0.78,0.54,1.00,0.63
0.76,0.61,0.77,0.56,0.73,0.64,1.00,0.71
0.79,0.60,0.78,0.56,0.72,0.64,1.00,0.72
0.74,0.65,0.62,0.63,0.66,0.57,1.00,0.78
0.46,0.38,0.29,0.30,0.46,0.58,1.00,0.59
0.34,nan,0.23,nan,0.59,nan,1.00,nan
0.33,nan,0.35,nan,0.70,nan,1.00,nan
0.79,nan,0.76,nan,0.71,nan,1.00,nan
0.74,nan,0.85,nan,0.81,nan,1.00,nan
0.97,nan,0.92,nan,0.87,nan,1.00,nan
0.96,nan,0.92,nan,0.87,nan,1.00,nan
0.88,nan,0.86,nan,0.82,nan,1.00,nan
0.77,0.68,0.77,0.79,0.80,0.72,1.00,0.82
0.64,0.41,0.56,0.43,0.63,0.58,1.00,0.66
0.38,0.26,0.27,0.25,0.36,0.43,1.00,0.66
0.38,0.18,0.23,0.19,0.35,0.41,1.00,0.51
0.43,0.25,0.31,0.31,0.37,0.49,1.00,0.58
0.47,0.28,0.18,0.30,0.39,0.48,1.00,0.75
0.67,0.18,0.23,0.19,0.56,0.64,1.00,0.59
0.70,0.52,0.54,0.53,0.76,0.76,1.00,0.74
0.55,nan,0.64,nan,0.74,nan,1.00,nan
0.64,nan,0.70,nan,0.36,nan,1.00,nan
0.64,nan,0.86,nan,0.72,nan,1.00,nan
0.97,nan,0.94,nan,0.85,nan,1.00,nan
0.92,nan,0.88,nan,0.79,nan,1.00,nan
0.85,0.76,0.75,0.73,0.72,0.77,1.00,0.83
0.71,0.77,0.70,0.65,0.73,0.77,1.00,0.72
0.47,0.57,0.33,0.29,0.35,0.52,1.00,0.59
0.81,0.30,0.41,0.24,0.47,0.53,1.00,0.72
0.74,0.55,0.45,0.45,0.50,0.64,1.00,0.86
0.54,0.37,0.42,0.51,0.54,0.63,1.00,0.80
0.53,0.24,0.44,0.34,0.52,0.63,1.00,0.64
0.61,0.49,0.56,0.48,0.69,0.67,1.00,0.73
0.59,0.51,0.57,0.58,0.69,0.76,1.00,0.68
0.51,0.34,0.63,0.46,0.52,0.58,1.00,0.62
0.45,nan,0.65,nan,0.23,nan,1.00,nan
0.59,nan,0.84,nan,0.62,nan,1.00,nan
0.96,nan,0.93,nan,0.83,nan,1.00,nan
0.90,0.91,0.85,0.83,0.77,0.91,1.00,0.93
0.81,0.79,0.74,0.67,0.72,0.82,1.00,0.77
0.55,0.67,0.73,0.66,0.66,0.76,1.00,0.66
0.36,0.31,0.52,0.15,0.42,0.33,1.00,0.51
0.73,0.81,0.78,0.63,0.62,0.67,1.00,0.83
0.84,0.80,0.80,0.70,0.58,0.67,1.00,0.83
0.66,0.69,0.68,0.52,0.57,0.64,1.00,0.77
0.60,0.63,0.62,0.50,0.66,0.73,1.00,0.78
