nan,0.84,nan,1.00,nan,0.90,nan,0.87
nan,0.78,nan,1.00,nan,0.87,nan,0.84
nan,0.63,nan,1.00,nan,0.70,nan,0.68
nan,0.59,nan,1.00,nan,0.84,nan,0.54
0.65,0.81,0.76,1.00,0.71,0.86,0.70,0.76
0.67,0.81,0.73,1.00,0.67,0.78,0.65,0.73
0.64,0.80,0.68,1.00,0.57,0.72,0.63,0.69
0.49,0.69,0.66,1.00,0.52,0.65,0.58,0.64
0.50,0.72,0.60,1.00,0.50,0.52,0.45,0.56
0.47,0.72,0.58,1.00,0.50,0.66,0.49,0.66
nan,0.59,nan,1.00,nan,0.64,nan,0.58
nan,0.71,nan,1.00,nan,0.75,nan,0.70
nan,0.93,nan,1.00,nan,0.91,nan,0.91
nan,0.95,nan,1.00,nan,0.92,nan,0.92
nan,0.78,nan,1.00,nan,0.88,nan,0.81
nan,0.68,nan,1.00,nan,0.88,nan,0.70
nan,0.49,nan,1.00,nan,0.67,nan,0.42
0.64,0.65,0.67,1.00,0.64,0.80,0.69,0.79
0.71,0.86,0.78,1.00,0.69,0.84,0.67,0.88
0.69,0.89,0.71,1.00,0.73,0.83,0.67,0.88
0.63,0.82,0.69,1.00,0.66,0.77,0.68,0.80
0.59,0.76,0.67,1.00,0.55,0.68,0.69,0.76
0.54,0.77,0.64,1.00,0.53,0.59,0.66,0.73
0.44,0.66,0.50,1.00,0.55,0.63,0.38,0.64
0.47,0.75,0.61,1.00,0.54,0.71,0.55,0.73
nan,0.74,nan,1.00,nan,0.61,nan,0.69
nan,0.79,nan,1.00,nan,0.80,nan,0.76
nan,0.93,nan,1.00,nan,0.89,nan,0.89
nan,0.72,nan,1.00,nan,0.80,nan,0.68
nan,0.56,nan,1.00,nan,0.71,nan,0.43
0.26,0.51,0.26,1.00,0.32,0.69,0.30,0.48
0.30,0.65,0.35,1.00,0.41,0.60,0.38,0.68
0.49,0.84,0.58,1.00,0.59,0.63,0.43,0.69
0.61,0.81,0.71,1.00,0.60,0.66,0.52,0.70
0.54,0.77,0.72,1.00,0.64,0.68,0.55,0.62
0.48,0.78,0.67,1.00,0.53,0.70,0.71,0.70
0.49,0.75,0.59,1.00,0.55,0.63,0.58,0.67
