0.53,nan,1.00,nan,0.59,nan,0.57,nan
0.52,nan,1.00,nan,0.55,nan,0.60,nan
0.48,nan,1.00,nan,0.42,nan,0.52,nan
0.41,nan,1.00,nan,0.29,nan,0.57,nan
0.36,0.44,1.00,0.58,0.33,0.40,0.60,0.41
0.37,0.56,1.00,0.61,0.41,0.47,0.61,0.52
0.43,0.67,1.00,0.53,0.40,0.44,0.58,0.52
0.45,0.44,1.00,0.38,0.56,0.27,0.42,0.31
0.60,0.49,1.00,0.37,0.74,0.40,0.58,0.40
0.73,0.60,1.00,0.62,0.74,0.47,0.67,0.52
0.74,nan,1.00,nan,0.75,nan,0.69,nan
0.83,nan,1.00,nan,0.73,nan,0.76,nan
0.79,nan,1.00,nan,0.80,nan,0.82,nan
0.79,nan,1.00,nan,0.80,nan,0.83,nan
0.53,nan,1.00,nan,0.54,nan,0.62,nan
0.54,nan,1.00,nan,0.50,nan,0.57,nan
0.56,nan,1.00,nan,0.44,nan,0.48,nan
0.60,0.54,1.00,0.60,0.36,0.31,0.47,0.45
0.46,0.45,1.00,0.50,0.40,0.31,0.35,0.37
0.38,0.54,1.00,0.57,0.45,0.46,0.44,0.49
0.42,0.56,1.00,0.55,0.44,0.43,0.50,0.49
0.53,0.56,1.00,0.47,0.45,0.42,0.48,0.48
0.60,0.57,1.00,0.50,0.64,0.52,0.60,0.57
0.68,0.58,1.00,0.48,0.76,0.52,0.65,0.51
0.64,0.61,1.00,0.58,0.74,0.48,0.59,0.51
0.69,nan,1.00,nan,0.73,nan,0.80,nan
0.71,nan,1.00,nan,0.72,nan,0.81,nan
0.69,nan,1.00,nan,0.72,nan,0.81,nan
0.52,nan,1.00,nan,0.47,nan,0.68,nan
0.55,nan,1.00,nan,0.48,nan,0.67,nan
0.57,0.68,1.00,0.68,0.46,0.53,0.63,0.53
0.53,0.66,1.00,0.67,0.45,0.44,0.66,0.54
0.48,0.60,1.00,0.59,0.43,0.35,0.67,0.57
0.47,0.58,1.00,0.59,0.53,0.37,0.61,0.52
0.60,0.64,1.00,0.65,0.58,0.51,0.64,0.55
0.57,0.59,1.00,0.56,0.50,0.53,0.58,0.53
0.59,0.60,1.00,0.42,0.51,0.40,0.53,0.47
0.56,0.59,1.00,0.53,0.59,0.49,0.52,0.42
0.66,0.67,1.00,0.65,0.76,0.63,0.60,0.64
0.63,0.69,1.00,0.57,0.74,0.53,0.72,0.64
0.55,nan,1.00,nan,0.53,nan,0.64,nan
0.65,nan,1.00,nan,0.54,nan,0.68,nan
0.56,nan,1.00,nan,0.50,nan,0.78,nan
0.58,0.78,1.00,0.73,0.52,0.70,0.76,0.71
0.58,0.77,1.00,0.69,0.49,0.56,0.71,0.65
0.51,0.65,1.00,0.64,0.47,0.46,0.69,0.45
0.41,0.64,1.00,0.67,0.41,0.37,0.74,0.47
0.46,0.62,1.00,0.57,0.45,0.38,0.65,0.43
0.45,0.54,1.00,0.51,0.37,0.33,0.46,0.41
